question,answer,passrate
"The adults advised the narrator to abandon drawing and study specific academic subjects instead. Name all four subjects. Later, the protagonist critiques TWO of the narrator's drawings by comparing them to other things — one drawing of a dangerous plant is compared to a vegetable, and one drawing of an animal is criticized for a specific body part resembling something else and being the wrong size. Name the two drawings critiqued, state what each is compared to, and specify in which chapter of the book these critiques occur (the answer may surprise you — it is NOT in the early chapters).","The four subjects: géographie, histoire, calcul, grammaire. The critiques occur in Chapter XXV (at the well). (1) The narrator's drawing of baobabs is compared to choux (cabbages): 'Tes baobabs, ils ressemblent un peu à des choux.' (2) The narrator's drawing of the fox (renard) is criticized: his ears (oreilles) look like horns (cornes) and are too long (trop longues): 'Ton renard... ses oreilles... elles ressemblent un peu à des cornes... et elles sont trop longues!'",100%
"The protagonist pronounces a formulaic judgment 'Les grandes personnes sont [X]' after leaving each of his first four planetary visits. After the fifth planet, the formula vanishes permanently. State the exact completing phrase for all four visits. Then: what does the protagonist think or say upon leaving the SIXTH planet (the géographe) — is it the formula, a positive assessment like after the fifth, or something else entirely? Quote it precisely.","Planet 1 (roi): 'bien étranges.' Planet 2 (vaniteux): 'décidément bien bizarres.' Planet 3 (buveur): 'décidément très très bizarres.' Planet 4 (businessman): 'décidément tout à fait extraordinaires.' After the sixth planet (géographe): neither formula nor positive assessment. The text says: 'Et le petit prince s'en fut, songeant à sa fleur.' He simply departs thinking of his flower, prompted by his first moment of regret ('Ce fut là son premier mouvement de regret') upon learning from the géographe that his flower is 'éphémère.'",100%
"The fox's teaching is often reduced to two famous phrases. But the fox actually states exactly THREE distinct components of his secret — and the one MOST readers forget is the middle one, stated between 'on ne voit bien qu'avec le cœur' and 'tu deviens responsable pour toujours de ce que tu as apprivoisé.' What is this forgotten middle component? After each of the three components, the protagonist repeats it — what reason does the text give for why he repeats them? Finally, what does the fox say he 'gains' from the taming experience — not an abstract concept, but a specific sensory association?","The forgotten middle component: 'C'est le temps que tu as perdu pour ta rose qui fait ta rose si importante.' The protagonist repeats each part 'afin de se souvenir' (in order to remember). What the fox gains: the color of wheat — 'J'y gagne, à cause de la couleur du blé.' (The golden wheat will remind him of the prince's golden hair.)",67%
"The king on the first asteroid offers the protagonist three roles in sequence. Between the second and third offers, the protagonist makes a specific request that the king cannot immediately fulfill. The king consults a specific object to determine when the request can be granted and gives an exact time. State the three roles in order, the protagonist's request, the object consulted, and the exact time given. Then: the king provides a philosophical reason why he can ONLY give reasonable orders — he uses a specific hypothetical involving a military rank and an animal transformation. State this hypothetical exactly.","Three roles: (1) sujet, (2) ministre de la Justice, (3) ambassadeur. The request: to see a sunset (coucher de soleil). The object: a gros calendrier (large calendar). The exact time: 'vers sept heures quarante' (around 7:40 PM). The hypothetical: if the king ordered a général (general) to se changer en oiseau de mer (transform into a seabird) and the general didn't obey, it would not be the general's fault — it would be the king's, for giving an unreasonable order.",100%
"The businessman on asteroid 328 was disturbed three times in 54 years. The FIRST disturbance (chronologically) was an insect that caused a specific number of arithmetic errors. State the insect's name, the number of errors, and how many years ago it occurred. The SECOND disturbance was a health condition — name it and state when it occurred. Then: the protagonist makes an argument about 'useful' ownership listing things he owns on his planet. How many distinct possessions does he cite (be careful — the text gives a specific count that may not match your expectation), and what specific activity does he perform for each? Finally, what does the businessman do when he cannot answer — describe his physical reaction using the text's exact words.","The insect: a hanneton (beetle/June bug), caused quatre erreurs (4 errors) in an addition, 22 years ago. The health condition: une crise de rhumatisme (rheumatism attack), 11 years ago. The protagonist cites exactly TWO categories of possessions (not three): (1) une fleur — 'que j'arrose tous les jours' (waters daily), (2) trois volcans — 'que je ramone toutes les semaines' (sweeps weekly), including the extinct one. The businessman's reaction: 'Le businessman ouvrit la bouche mais ne trouva rien à répondre' — he opened his mouth but found nothing to answer.",67%
"The narrator's critique of adults involves a house described with exactly three visual details that adults cannot imagine. He then says a single monetary figure makes them react with an exclamation. State the three details in order, the monetary figure, and the exclamation. THEN: the narrator applies this SAME logic to the protagonist's existence using three character qualities. But he also lists FOUR specific questions that adults would ask about a new friend instead — what are those four questions? (Hint: they involve numbers about the friend.)","Three house details: (1) briques roses (pink bricks), (2) géraniums aux fenêtres (geraniums at the windows), (3) colombes sur le toit (doves on the roof). Monetary figure: cent mille francs. Exclamation: 'Comme c'est joli!' The four numerical questions adults ask about a new friend: 'Quel âge a-t-il? Combien a-t-il de frères? Combien pèse-t-il? Combien gagne son père?' (How old is he? How many brothers does he have? How much does he weigh? How much does his father earn?)",100%
"The dedication undergoes a revision. Between the two versions, the narrator offers three excuses. But consider this: the third excuse mentions TWO hardships. One of these hardships is echoed much later in the book when the narrator and protagonist are dying in the desert — which hardship is it, and in which chapter does the narrator's water supply run out completely? Furthermore, the CORRECTED dedication adds a temporal clause — what is it, and what universal observation does the narrator make about adults that IMMEDIATELY follows the corrected dedication?","Third excuse mentions faim (hunger) and froid (cold). The hardship echoed later is thirst/lack of water (related to faim/physical deprivation). The narrator's water runs out in Chapter XXIV: 'j'avais écouté l'histoire du marchand en buvant la dernière goutte de ma provision d'eau.' The corrected dedication adds: 'quand il était petit garçon.' The universal observation immediately following: 'Toutes les grandes personnes ont d'abord été des enfants. (Mais peu d'entre elles s'en souviennent.)' — All grown-ups were first children, but few of them remember it.",100%
"On the protagonist's home planet, a shoot appeared that could have been a baobab. Two botanical signs confirmed it was not. Name them. The being that grew from it demanded three accommodations and displayed one specific deceptive behavior involving simulated illness. Name the three accommodations, describe the deceptive behavior, and then state: at the farewell, the being refuses one accommodation and gives a weather-related reason. But the being ALSO makes a self-contradictory claim in the same farewell — she says she has 'claws' when referring to something that is actually described with a different word earlier in the text. What word did the text use earlier, and what word does she use at the farewell?","Two botanical signs: (1) the bush stopped growing (cessa de croître), (2) it began preparing a flower (commença de préparer une fleur). Three accommodations: (1) paravent (screen for drafts), (2) globe de verre (glass dome at night), (3) watering with arrosoir. Deceptive behavior: she coughed (toussé) two or three times to make the prince feel guilty — she forced her cough to inflict remorse ('elle avait forcé sa toux pour lui infliger des remords'). At farewell she refuses the globe, saying: 'L'air frais de la nuit me fera du bien.' The self-contradictory claim: earlier the text uses 'épines' (thorns) to describe her four defensive appendages. At farewell, she calls them 'griffes' (claws): 'J'ai mes griffes' — while naively showing her four épines.",100%
"On Earth, the protagonist encounters exactly seven beings between arriving in Africa and discovering the well with the narrator. The FOURTH encounter triggers an emotional crisis — what specifically does the protagonist say about himself using the words 'ordinaire' and 'volcans,' and what physical action follows? The FIFTH encounter sends the protagonist BACK to the fourth encounter's location — what specific instruction does this fifth being give, and what does the protagonist say to the beings at the fourth location that he did NOT say before?","The fourth encounter is les 5000 roses. The protagonist says: 'Je ne possède qu'une rose ordinaire. Ça et mes trois volcans qui m'arrivent au genou, et dont l'un, peut-être, est éteint pour toujours, ça ne fait pas de moi un bien grand prince...' Physical action: 'Et, couché dans l'herbe, il pleura.' The fifth encounter is the fox. The fox instructs: 'Va revoir les roses. Tu comprendras que la tienne est unique au monde.' At the second visit to the roses, the prince says (which he did NOT say before): 'Vous êtes belles, mais vous êtes vides... On ne peut pas mourir pour vous' — and describes all the specific things he did for his rose (watered, sheltered, killed caterpillars, listened to her).",100%
"The fifth asteroid (state its number) has room for exactly two things — name them. Its inhabitant formerly had rest because the planet's rotation allowed time between duties. Now the rotation rate has changed. What was the OLD rhythm (how often did he light and extinguish?), what is the CURRENT rhythm, and what specific verb does the text use for the planet's acceleration ('the planet has [verbed] faster and faster')? The protagonist regrets leaving — the narrator gives a specific adverb about HOW the protagonist regretted this. What is that adverb? Connect this to the protagonist's home planet: how many sunsets on his sad day, and what FURNITURE did he use?","Asteroid 329. Two things: un réverbère (streetlamp) and un allumeur de réverbères (lamplighter). Old rhythm: light in the evening, extinguish in the morning — rest during the day, sleep at night. Current rhythm: once per minute. The verb: 'tourné' — 'La planète d'année en année a tourné de plus en plus vite.' The text does NOT use 'secrètement.' It says: 'Ce que le petit prince n'osait pas s'avouer, c'est qu'il regrettait cette planète bénie à cause, surtout, des mille quatre cent quarante couchers de soleil par vingt-quatre heures!' The adverb is 'surtout' (especially) — modifying the reason for his regret (the sunsets). The construction 'n'osait pas s'avouer' (didn't dare admit to himself) conveys secrecy but is NOT an adverb. On his home planet: 44 sunsets (quarante-quatre couchers de soleil). The furniture: une chaise (a chair) — 'il te suffisait de tirer ta chaise de quelques pas.'",100%
